lemma,influence_ingred,espace,temps_moyenne
préparer,0,0,20
mélanger,0,1,5
découper,1,1,1
enlever,0,0,1
reposer,0,1,30
griller,1,1,5
rôtir,1,1,5
revenir,0,1,1
couper,1,1,1
ajouter,0,0,1
mijoter,0,1,30
incorporer,0,0,1
procéder,0,0,3
cuire,0,1,20
rajouter,0,0,1
hacher,1,1,5
raper,0,0,1
râper,0,0,1
disposer,0,1,1
verser,0,0,1
remplir,0,1,1
luter,0,0,1
refroidir,0,0,15
dorer,1,0,1
fermer,1,0,1
réchauffer,0,1,5
déposer,0,1,1
placer,0,0,1
recouvrir,0,0,1
evacuer,0,0,1
etaler,0,1,5
emincer,1,1,1
mettre,0,1,1
chauffer,0,1,2
saler,0,0,1
poivrer,0,0,1
couvrir,0,0,1
garnir,0,0,1
passer,0,0,20
flamber,0,0,1
laver,1,0,1
lier,0,0,1
fouetter,0,1,1
vider,0,0,1
arroser,0,0,1
fondre,0,1,3
mouiller,0,0,3
corriger,0,0,1
tenir,0,0,1
retirer,0,0,1
remettre,0,1,1
beurrer,0,0,1
vérifier,0,0,1
prendre,0,0,1
napper,0,0,1
badigeonner,0,0,1
déglacer,0,0,30
mariner,0,1,20
éplucher,1,0,1
macérer,0,1,60
saupoudrer,0,0,1
peler,1,0,1
évider,0,0,2
farcir,1,0,2
tartiner,0,0,1
tremper,0,1,60
suer,0,0,1
imprégner,0,1,1
répéter,1,0,5
positionner,0,1,1
chevaucher,0,0,1
replier,0,0,1
fixer,0,0,1
bouillir,0,1,5
remuer,0,0,1
blondir,0,1,2
égoutter,0,0,1
etender,0,1,1
dresser,0,0,1
préchauffer,0,0,30